Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds,Key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Johan Rojas,0.5,2.45,+145,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Kody Clemens,0.5,1.52631579,-190,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Kody Clemens,0.5,2.4,+140,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Nick Castellanos,1.5,2.9,+190,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Nick Castellanos,1.5,1.3773585,-265,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Tim Anderson,0.5,1.42553192,-235,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Tim Anderson,0.5,2.7,+170,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Trea Turner,1.5,2.35,+135,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Trea Turner,1.5,1.54054055,-185,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Whit Merrifield,0.5,1.3773585,-265,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Whit Merrifield,0.5,2.85,+185,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,1+,,Alec Bohm,,1.27027028,-370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Alec Bohm,,6.0,+500,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,2+,,Brandon Marsh,,3.9,+290,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,1+,,Bryson Stott,,1.32258065,-310,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Bryson Stott,,7.0,+600,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,2+,,Garrett Stubbs,,5.5,+450,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,2+,,Johan Rojas,,3.8,+280,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Johan Rojas,,13.0,+1200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,2+,,Kody Clemens,,3.8,+280,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,1+,,Nick Castellanos,,1.33898306,-295,key
