Teams,League,Category,Designation,Side,Name,Points,PB Decimal Odds,PB American Odds,Key,Date
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,D. Hopkins,35.5,1.8,-125,pp;0;ou;rey;35.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,D. Hopkins,35.5,1.9524,-105,pp;0;ou;rey;35.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,D. Achane,25.5,1.8696,-115,pp;0;ou;rey;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,D. Achane,25.5,1.8696,-115,pp;0;ou;rey;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,J. Waddle,35.5,1.8,-125,pp;0;ou;rey;35.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,J. Waddle,35.5,1.9524,-105,pp;0;ou;rey;35.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,J. Smith,15.5,1.9091,-110,pp;0;ou;rey;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,J. Smith,15.5,1.8334,-120,pp;0;ou;rey;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,J. Whyle,10.5,1.8696,-115,pp;0;ou;rey;10.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,J. Whyle,10.5,1.8696,-115,pp;0;ou;rey;10.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,T. Pollard,15.5,1.9091,-110,pp;0;ou;rey;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,T. Pollard,15.5,1.8334,-120,pp;0;ou;rey;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,T. Spears,10.5,1.8,-125,pp;0;ou;rey;10.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,T. Spears,10.5,1.9524,-105,pp;0;ou;rey;10.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,T. Boyd,25.5,1.9524,-105,pp;0;ou;rey;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,T. Boyd,25.5,1.8,-125,pp;0;ou;rey;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,T. Hill,50.5,1.8334,-120,pp;0;ou;rey;50.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,T. Hill,50.5,1.9091,-110,pp;0;ou;rey;50.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,C. Ridley,3.5,2.0,100,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,C. Ridley,3.5,1.7693,-130,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,C. Okonkwo,2.5,2.45,145,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,C. Okonkwo,2.5,1.5264,-190,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,D. Hopkins,3.5,2.15,115,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,D. Hopkins,3.5,1.6667,-150,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,D. Achane,3.5,2.2,120,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,D. Achane,3.5,1.625,-160,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,J. Waddle,3.5,1.9091,-110,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,J. Waddle,3.5,1.8334,-120,pp;0;ou;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,J. Smith,2.5,2.4,140,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,J. Smith,2.5,1.5556,-180,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,J. Whyle,1.5,2.45,145,pp;0;ou;rec;1.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,J. Whyle,1.5,1.5264,-190,pp;0;ou;rec;1.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,T. Pollard,2.5,1.8,-125,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,T. Pollard,2.5,1.9524,-105,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,T. Spears,2.5,2.4,140,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,T. Spears,2.5,1.5556,-180,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,T. Boyd,2.5,1.8696,-115,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,T. Boyd,2.5,1.8696,-115,pp;0;ou;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,over,,T. Hill,4.5,1.9524,-105,pp;0;ou;rec;4.5,2024-09-30
TEN(away) vs MIA(home),NFL,Player Receptions,under,,T. Hill,4.5,1.8,-125,pp;0;ou;rec;4.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,19.5,1.1112,-899,pp;0;ss;rey;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,34.5,1.3334,-300,pp;0;ss;rey;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,49.5,1.8334,-120,pp;0;ss;rey;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,64.5,2.6,160,pp;0;ss;rey;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,79.5,4.3,330,pp;0;ss;rey;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,94.5,7.0,600,pp;0;ss;rey;94.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Hill,109.5,13.0,1200,pp;0;ss;rey;109.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,J. Waddle,19.5,1.3077,-325,pp;0;ss;rey;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,J. Waddle,34.5,1.7693,-130,pp;0;ss;rey;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,J. Waddle,49.5,2.65,165,pp;0;ss;rey;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,J. Waddle,64.5,4.3,330,pp;0;ss;rey;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,J. Waddle,79.5,7.5,650,pp;0;ss;rey;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,J. Waddle,94.5,14.0,1300,pp;0;ss;rey;94.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Achane,19.5,1.5883,-170,pp;0;ss;rey;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Achane,34.5,2.65,165,pp;0;ss;rey;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Achane,49.5,5.25,425,pp;0;ss;rey;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Achane,64.5,11.0,1000,pp;0;ss;rey;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Hopkins,19.5,1.2858,-350,pp;0;ss;rey;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Hopkins,34.5,1.7143,-140,pp;0;ss;rey;34.5,2024-09-30
