Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
Game,490457435,NYY(away) vs CWS(home),MLB,,away,-1.5,s;0;s;1.5,-205,1.49,spread,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,,away,,s;0;m,-335,1.3,moneyline,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,over,away,5.5,s;0;tt;5.5;away,-135,1.74,team_total,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,under,away,5.5,s;0;tt;5.5;away,105,2.05,team_total,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,,home,1.5,s;0;s;1.5,175,2.75,spread,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,,home,,s;0;m,290,3.9,moneyline,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,over,home,2.5,s;0;tt;2.5;home,-150,1.67,team_total,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,under,home,2.5,s;0;tt;2.5;home,120,2.2,team_total,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,over,,9.0,s;0;ou;9,-115,1.87,total,2024-08-12,
Game,490457435,NYY(away) vs CWS(home),MLB,under,,9.0,s;0;ou;9,-105,1.95,total,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,,away,-0.5,s;-1;s;0.5,-180,1.56,spread,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,,away,,s;-1;m,-280,1.36,moneyline,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,over,away,3.5,s;-1;tt;3.5;away,110,2.1,team_total,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,under,away,3.5,s;-1;tt;3.5;away,-140,1.71,team_total,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,,home,0.5,s;-1;s;0.5,160,2.6,spread,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,,home,,s;-1;m,235,3.35,moneyline,2024-08-12,
