Category,Designation,Points,PN American Odds
Eugenio Suarez (Total Bases)(must start),over,1.5,118
Eugenio Suarez (Total Bases)(must start),under,1.5,-159
Kris Bryant (Home Runs)(must start),over,0.5,711
Kris Bryant (Home Runs)(must start),under,0.5,-1538
Kris Bryant (Total Bases)(must start),over,0.5,-143
Kris Bryant (Total Bases)(must start),under,0.5,107
Joc Pederson (Home Runs)(must start),over,0.5,309
Joc Pederson (Home Runs)(must start),under,0.5,-547
Joc Pederson (Total Bases)(must start),over,1.5,103
Joc Pederson (Total Bases)(must start),under,1.5,-150
Jake Cave (Home Runs)(must start),over,0.5,896
Jake Cave (Home Runs)(must start),under,0.5,-2291
Jake Cave (Total Bases)(must start),over,0.5,-166
Jake Cave (Total Bases)(must start),under,0.5,123
Josh Bell (Home Runs)(must start),over,0.5,536
Josh Bell (Home Runs)(must start),under,0.5,-1560
Josh Bell (Total Bases)(must start),over,1.5,127
Josh Bell (Total Bases)(must start),under,1.5,-172
Ketel Marte (Home Runs)(must start),over,0.5,457
Ketel Marte (Home Runs)(must start),under,0.5,-1124
Ketel Marte (Total Bases)(must start),over,1.5,116
Ketel Marte (Total Bases)(must start),under,1.5,-156
Ryan McMahon (Home Runs)(must start),over,0.5,559
Ryan McMahon (Home Runs)(must start),under,0.5,-1046
Ryan McMahon (Total Bases)(must start),over,0.5,-191
Ryan McMahon (Total Bases)(must start),under,0.5,139
Jose Herrera (Total Bases)(must start),over,0.5,-108
Jose Herrera (Total Bases)(must start),under,0.5,-122
Brendan Rodgers (Home Runs)(must start),over,0.5,775
Brendan Rodgers (Home Runs)(must start),under,0.5,-1778
Brendan Rodgers (Total Bases)(must start),over,1.5,140
Brendan Rodgers (Total Bases)(must start),under,1.5,-192
Jake McCarthy (Total Bases)(must start),over,1.5,117
Jake McCarthy (Total Bases)(must start),under,1.5,-157
Michael Toglia (Home Runs)(must start),over,0.5,491
Michael Toglia (Home Runs)(must start),under,0.5,-859
Michael Toglia (Total Bases)(must start),over,0.5,-149
Michael Toglia (Total Bases)(must start),under,0.5,111
Geraldo Perdomo (Home Runs)(must start),over,0.5,913
Geraldo Perdomo (Home Runs)(must start),under,0.5,-2370
Geraldo Perdomo (Total Bases)(must start),over,0.5,-163
Geraldo Perdomo (Total Bases)(must start),under,0.5,121
Alek Thomas (Home Runs)(must start),over,0.5,781
Alek Thomas (Home Runs)(must start),under,0.5,-1802
Alek Thomas (Total Bases)(must start),over,1.5,137
Alek Thomas (Total Bases)(must start),under,1.5,-188
Ezequiel Tovar (Home Runs)(must start),over,0.5,602
Ezequiel Tovar (Home Runs)(must start),under,0.5,-1175
Ezequiel Tovar (Total Bases)(must start),over,1.5,138
Ezequiel Tovar (Total Bases)(must start),under,1.5,-197
Corbin Carroll (Home Runs)(must start),over,0.5,550
Corbin Carroll (Home Runs)(must start),under,0.5,-1020
Corbin Carroll (Total Bases)(must start),over,1.5,103
Corbin Carroll (Total Bases)(must start),under,1.5,-137
Brenton Doyle (Home Runs)(must start),over,0.5,610
Brenton Doyle (Home Runs)(must start),under,0.5,-1947
Brenton Doyle (Total Bases)(must start),over,0.5,-188
Brenton Doyle (Total Bases)(must start),under,0.5,137
Brandon Pfaadt (Total Strikeouts)(must start),over,6.5,-141
Brandon Pfaadt (Total Strikeouts)(must start),under,6.5,-103
Brandon Pfaadt (Hits Allowed)(must start),over,5.5,119
Brandon Pfaadt (Hits Allowed)(must start),under,5.5,-160
Brandon Pfaadt (Earned Runs)(must start),over,1.5,-183
Brandon Pfaadt (Earned Runs)(must start),under,1.5,134
Brandon Pfaadt (Pitching Outs)(must start),over,18.5,146
Brandon Pfaadt (Pitching Outs)(must start),under,18.5,-203
Manny Machado (Home Runs)(must start),over,0.5,433
