Teams,League,Category,Designation,Side,Name,Points,Odds,Units
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 7-5,0.0,51.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 7-6,0.0,91.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 8-3,0.0,36.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 8-4,0.0,67.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 8-5,0.0,91.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 8-6,0.0,351.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 8-7,0.0,301.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 9-3,0.0,67.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 9-4,0.0,91.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 9-5,0.0,176.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 9-6,0.0,301.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 9-7,0.0,451.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 9-8,0.0,401.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 10-3,0.0,101.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 10-4,0.0,176.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 10-5,0.0,201.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 10-6,0.0,401.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 10-7,0.0,401.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 10-8,0.0,451.0,
