Teams_x,League_x,Category_x,Designation_x,Side_x,Name_x,Points_x,PB Decimal Odds,PB American Odds,Key,Period,GameId,Teams_y,League_y,Designation_y,Side_y,Points_y,BO Odds,BO dec_odds,Category_y,Name_y,Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Moneyline OF,,Home,Los Angeles Dodgers,0.0,1.5,-200.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Moneyline OF,,Away,Milwaukee Brewers,0.0,2.65,165.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Run Line,,Home,Los Angeles Dodgers -1.5,-1.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Run Line,,Away,Milwaukee Brewers +1.5,1.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Total Runs OF,over,Neither,Over 7.5,7.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Total Runs OF,under,Neither,Under 7.5,7.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 2.5,2.5,1.6897,-145.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 2.5,2.5,2.1,110.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 4.5,4.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers(away) vs Los Angeles Dodgers(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 4.5,4.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Moneyline OF,,Home,New York Yankees,0.0,1.5883,-170.0,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox(away) vs New York Yankees(home),MLB,Moneyline OF,,Away,Boston Red Sox,0.0,2.4,140.0,,,,,,,,,,,,,,,,,,,,,
